变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
信号-新增,0x219,DZCU_DrLockCtrl_20ms,DZCU_RChildProtnLckSts,定义,,"起始位=252,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x219,DZCU_DrLockCtrl_20ms,DZCU_RRDoorLckSts,定义,,"起始位=249,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x219,DZCU_DrLockCtrl_20ms,DZCU_RRDoorSts,定义,,"起始位=251,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,ECPrivacySts,定义,,"起始位=41,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,RLECProtnSts,定义,,"起始位=24,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,RLTempECCtrlCmd,定义,,"起始位=37,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,RRECProtnSts,定义,,"起始位=54,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,RRTempECCtrlCmd,定义,,"起始位=33,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,TailDoorECProtnSts,定义,,"起始位=52,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,TaildoorTempECCtrlCmd,定义,,"起始位=45,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,ThirdLECProtnSts,定义,,"起始位=55,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x247,PZCU_ECGMCmd_20ms,ThirdRECProtnSts,定义,,"起始位=53,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x259,PZCU_BodySts_20ms,PZCU_LChildProtnLckSts,定义,,"起始位=72,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x259,PZCU_BodySts_20ms,PZCU_RLDoorLckSts,定义,,"起始位=87,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x259,PZCU_BodySts_20ms,PZCU_RLDoorSts,定义,,"起始位=74,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
报文-修改,0x3A1,LECGM_Sts1_100msMixed,,报文名称,LECGM_Sts1_100ms,LECGM_Sts1_100msMixed
报文-修改,0x3A1,LECGM_Sts1_100msMixed,,属性.GenMsgDelayTime,<不存在>,20.0
报文-修改,0x3A1,LECGM_Sts1_100msMixed,,属性.GenMsgSendType,0,5
报文-修改,0x3A2,RECGM_Sts1_100msMixed,,报文名称,RECGM_Sts1_100ms,RECGM_Sts1_100msMixed
报文-修改,0x3A2,RECGM_Sts1_100msMixed,,属性.GenMsgDelayTime,<不存在>,20.0
报文-修改,0x3A2,RECGM_Sts1_100msMixed,,属性.GenMsgSendType,0,5
信号-修改,0x3EC,BZCU_SecSeatSts_100ms,SecLSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x3EC,BZCU_SecSeatSts_100ms,SecRSeatPosChng,值表,"{0: 'No Command', 1: 'No change', 2: 'Changed', 3: 'Invalid'}","{0: 'No change', 1: 'Changed', 2: 'Reserved', 3: 'Reserved'}"
信号-修改,0x51A,BZCU_BodySts_100ms,DrEasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
信号-修改,0x51A,BZCU_BodySts_100ms,SecLEasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
信号-修改,0x51A,BZCU_BodySts_100ms,SecREasyEntCfg,值表,"{0: 'Active', 1: 'Inactive'}","{0: 'Inactive', 1: 'Active'}"
信号-新增,0x5A0,CCU_VehSts_1000ms,OBDDiagDeviceActivated,定义,,"起始位=13,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
